num_compra,cliente,vendedor,tipo_de_mercadoria,filial,data_compra,valor_compra,imposto,cpf_na_nota,produto_devolvido,motivo_devolucao
24937847,295,ANDERSON,SPLIT 8501 À 10000,Loja Autazes,2020-04-06 12:25:12.666,2582.3999999999996,116.20799999999998,Sim,Não,Sem devolução
23600787,331,RAIMUNDO,SPLIT INV 8501À10000,Loja Manicoré,2020-04-06 14:03:54.682,1919.28,86.3676,Sim,Sim,Antecipação de troca
24298956,370,ROSILANE,SPLIT ACIMA DE 30000,Loja Manicoré,2020-04-06 14:35:14.125,10121.039999999999,455.44679999999994,Sim,Sim,Insatisfação com o produto
23802765,460,SANDRA,SPLIT 10001 À 18000,Loja Manicoré,2020-04-06 14:59:19.759,11723.999999999998,527.5799999999999,Sim,Sim,Problema na Entrega
22559356,538,JAMERSON,SPLIT 18001 À 30000,Loja Manicoré,2020-04-06 15:32:43.879,1157.28,52.0776,Sim,Sim,Antecipação de troca
21863286,606,JEANDERSON,JANELA ATÉ 8500 BTUS,Loja Manicoré,2020-04-06 16:13:25.839,180.716,8.13222,Sim,Não,Sem devolução
24353666,879,JOSE,JANELA 8501 À 10000,Loja Manicoré,2020-04-06 16:36:09.748,90.65199999999999,4.079339999999999,Não,Não,Sem devolução
24751322,1165,ALCEMIR,TANQUINHO/SEMI-AUTOM,Loja Manicoré,2020-04-06 17:25:44.059,67.672,3.0452399999999997,Não,Não,Sem devolução
22150663,1311,RALYSON,ARM AÉREO COZ AÇO,Loja Manicoré,2020-04-06 18:14:44.113,38.108,1.7148599999999998,Não,Não,Sem devolução
25757358,1510,DAVISON,KIT COZINHA DE AÇO,Loja Manicoré,2020-04-06 19:13:19.366,94.5,4.2524999999999995,Não,Não,Sem devolução
22823723,1605,FRANCISLEIA,TABLET,Loja Manicoré,2020-04-07 08:33:20.782,44.048,1.98216,Não,Não,Sem devolução
22559303,1717,LUCILEILA,SYSTEM,Loja Manicoré,2020-04-07 08:45:03.094,47.331999999999994,2.1299399999999995,Não,Não,Sem devolução
